정보,설명,정보 위치(링크)
표준매뉴얼 ,설계 단계별 도면 작성 해설서 ,http://intra.junglim.com:8080/KMS/KMS03011.jsp?MAP_SN=K201307220013&MAP_NM=설계단계별 도면작성 해설서&MAP_LVL=2&HIGH_SN=K201307220002&MAP_TEC_FG=C&PATH_NM=공통기술자료 > 표준매뉴얼 > 설계단계별 도면작성 해설서
표준매뉴얼 ,정림 설계 기준,http://intra.junglim.com:8080/KMS/KMS03011.jsp?MAP_SN=K201612200001&MAP_NM=정림설계기준&MAP_LVL=2&HIGH_SN=K201307220002&MAP_TEC_FG=C&PATH_NM=공통기술자료 > 표준매뉴얼 > 정림설계기준
표준매뉴얼 ,정림 표준설계 관리 시스템(J-QMS),http://intra.junglim.com:8080/KMS/KMS03011.jsp?MAP_SN=K201702160001&MAP_NM=정림 표준설계관리시스템<br>&nbsp;&nbsp;&nbsp;(J-QMS)&MAP_LVL=2&HIGH_SN=K201307220002&MAP_TEC_FG=C&PATH_NM=공통기술자료 > 표준매뉴얼 > 정림 표준설계관리시스템<br>&nbsp;&nbsp;&nbsp;(J-QMS)
표준도면 및 도서,도면표준양식(세로),http://intra.junglim.com:8080/KMS/KMS03011.jsp?MAP_SN=K201710310001&MAP_NM=도면표준양식(세로)&MAP_LVL=2&HIGH_SN=K201307220003&MAP_TEC_FG=C&PATH_NM=공통기술자료 > 표준도면 및 도서 > 도면표준양식(세로)
표준도면 및 도서,중간설계 예시도면,http://intra.junglim.com:8080/KMS/KMS03011.jsp?MAP_SN=K201307220018&MAP_NM=중간설계 예시도면&MAP_LVL=2&HIGH_SN=K201307220003&MAP_TEC_FG=C&PATH_NM=공통기술자료 > 표준도면 및 도서 > 중간설계 예시도면
표준도면 및 도서,실시설계 예시도면,http://intra.junglim.com:8080/KMS/KMS03011.jsp?MAP_SN=K201307220019&MAP_NM=실시설계 예시도면&MAP_LVL=2&HIGH_SN=K201307220003&MAP_TEC_FG=C&PATH_NM=공통기술자료 > 표준도면 및 도서 > 실시설계 예시도면
표준도면 및 도서,외피디테일 예시도면,http://intra.junglim.com:8080/KMS/KMS03011.jsp?MAP_SN=K201307220020&MAP_NM=외피디테일 예시도면&MAP_LVL=2&HIGH_SN=K201307220003&MAP_TEC_FG=C&PATH_NM=공통기술자료 > 표준도면 및 도서 > 외피디테일 예시도면
표준도면 및 도서,인테리어 예시도면,http://intra.junglim.com:8080/KMS/KMS03011.jsp?MAP_SN=K201501210002&MAP_NM=인테리어 예시도면&MAP_LVL=2&HIGH_SN=K201307220003&MAP_TEC_FG=C&PATH_NM=공통기술자료 > 표준도면 및 도서 > 인테리어 예시도면
표준도면 및 도서,구조,http://intra.junglim.com:8080/KMS/KMS03011.jsp?MAP_SN=K201610100003&MAP_NM=구조&MAP_LVL=2&HIGH_SN=K201307220003&MAP_TEC_FG=C&PATH_NM=공통기술자료 > 표준도면 및 도서 > 구조
표준도면 및 도서,에너지 절약 계획서,http://intra.junglim.com:8080/KMS/KMS03011.jsp?MAP_SN=K202106280001&MAP_NM=에너지절약계획서&MAP_LVL=2&HIGH_SN=K201307220003&MAP_TEC_FG=C&PATH_NM=공통기술자료 > 표준도면 및 도서 > 에너지절약계획서
